iter	Passed	Remaining
0	0	94
1	1	84
2	2	80
3	3	73
4	3	71
5	4	71
6	5	70
7	6	72
8	7	73
9	8	72
10	8	71
11	9	70
12	10	69
13	11	67
14	11	66
15	12	65
16	13	64
17	14	63
18	14	63
19	15	62
20	16	61
21	17	61
22	18	60
23	18	59
24	19	58
25	20	58
26	21	57
27	22	57
28	22	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	51
35	28	50
36	28	49
37	29	48
38	30	47
39	31	46
40	31	45
41	32	44
42	33	43
43	33	43
44	34	42
45	35	41
46	36	40
47	37	40
48	37	39
49	38	38
50	39	37
51	40	37
52	41	36
53	41	35
54	42	34
55	43	33
56	43	33
57	44	32
58	45	31
59	46	30
60	47	30
61	47	29
62	48	28
63	49	27
64	50	27
65	51	26
66	51	25
67	52	24
68	53	24
69	54	23
70	55	22
71	55	21
72	56	20
73	57	20
74	58	19
75	59	18
76	59	17
77	60	17
78	61	16
79	62	15
80	62	14
81	63	13
82	64	13
83	65	12
84	66	11
85	66	10
86	67	10
87	68	9
88	69	8
89	70	7
90	71	7
91	71	6
92	72	5
93	73	4
94	74	3
95	75	3
96	75	2
97	76	1
98	77	0
99	78	0
